City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Talnakh,RU,69.4865,88.3972,15.21,95,100,11.5
159,Piacabucu,BR,-10.4056,-36.4344,72.37,91,100,7.92
160,Ostrovnoy,RU,68.0531,39.5131,36.45,96,100,9.89
161,Bastia,FR,42.6667,9.3333,60.3,59,75,5.75
162,Zhigansk,RU,66.7697,123.3711,6.94,95,100,11.34
163,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,11.5
164,Salalah,OM,17.0151,54.0924,73.49,68,0,4.61
165,East London,ZA,-33.0153,27.9116,66.79,89,97,9.8
166,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.59,87,84,1.86
167,Young,UY,-32.6833,-57.6333,55.63,76,0,9.86
168,Kutoarjo,ID,-7.7169,109.9128,80.11,86,100,1.79
169,Leningradskiy,RU,69.3833,178.4167,0.05,87,11,6.02
170,Puerto Colombia,CO,10.9878,-74.9547,78.89,83,100,9.75
171,Portland,US,45.5234,-122.6762,58.93,93,100,16.11
172,Henties Bay,NA,-22.116,14.2845,57.81,91,0,4.56
173,Ixtapa,MX,20.7,-105.2,81.63,74,20,8.05
174,Sasaram,IN,24.951,84.0149,66.25,67,0,3.0
175,Husavik,IS,66.0449,-17.3389,35.53,83,100,8.05
176,Vardo,NO,70.3705,31.1107,33.78,86,100,16.11
177,Davila,PH,18.4726,120.5763,78.78,70,2,3.91
178,Dingle,PH,10.9995,122.6711,83.17,78,26,9.06
179,Nioro,GM,13.35,-15.75,74.97,31,90,2.48
180,Sao Filipe,CV,14.8961,-24.4956,80.2,61,100,8.19
181,Bredasdorp,ZA,-34.5322,20.0403,60.87,96,48,3.27
182,Grindavik,IS,63.8424,-22.4338,43.27,81,75,31.07
183,Tahoua,NE,14.8888,5.2692,75.18,31,0,2.3
184,Matagami,CA,49.7502,-77.6328,41.11,93,100,14.97
185,Norman Wells,CA,65.282,-126.8329,8.64,78,75,10.36
186,Atuona,PF,-9.8,-139.0333,77.5,76,7,13.91
187,Bambous Virieux,MU,-20.3428,57.7575,70.05,94,40,4.61
188,Chuy,UY,-33.6971,-53.4616,57.69,87,0,9.73
189,Zhicheng,CN,30.2956,111.5047,58.68,65,100,2.53
190,Prince Rupert,CA,54.3161,-130.3201,44.29,72,40,26.46
191,Marawi,PH,7.9986,124.2928,78.4,73,98,1.77
192,Tabou,CI,4.423,-7.3528,77.76,87,100,5.68
193,Faya,SA,18.3851,42.4509,61.32,80,16,3.89
194,Provideniya,RU,64.3833,-173.3,14.72,76,2,8.19
195,Ust-Kut,RU,56.7938,105.7672,23.23,97,98,2.57
196,Sembe,CG,1.6481,14.5806,68.54,95,98,0.74
197,Srikakulam,IN,18.3,83.9,71.89,85,0,5.86
198,Moussoro,TD,13.6408,16.4901,73.69,18,100,8.66
199,Myre,NO,69.1036,15.9492,45.34,77,100,8.52
200,Iralaya,HN,15.0,-83.2333,79.75,80,21,4.45
201,Victoria,HK,22.2855,114.1577,70.32,87,82,11.99
202,Taywarah,AF,33.35,64.4167,32.47,79,0,2.48
203,Namatanai,PG,-3.6667,152.4333,83.95,72,98,3.85
204,Quelimane,MZ,-17.8786,36.8883,76.95,94,40,8.05
205,Saint-Philippe,RE,-21.3585,55.7679,69.39,85,5,6.06
206,Paamiut,GL,61.994,-49.6678,27.43,80,12,13.53
207,Iracoubo,GF,5.4802,-53.2011,76.33,87,100,3.69
208,Carnarvon,AU,-24.8667,113.6333,69.96,56,0,19.98
209,Tadine,NC,-21.55,167.8833,81.81,69,26,9.84
210,Hualmay,PE,-11.0964,-77.6139,62.6,83,10,9.04
211,Hasaki,JP,35.7333,140.8333,58.21,60,100,14.36
212,Tessalit,ML,20.1986,1.0114,72.03,19,0,9.1
213,Araouane,ML,18.9048,-3.5265,75.9,15,0,7.63
214,Turukhansk,RU,65.8167,87.9833,14.31,96,100,7.27
215,Caravelas,BR,-17.7125,-39.2481,71.13,74,100,14.14
216,Kajaani,FI,64.2273,27.7285,39.25,93,100,4.61
217,Xinmin,CN,41.9908,122.8253,41.2,29,0,4.92
